,Screen Size,Native Screen Resolution,Touchscreen Display,Convertible/Hybrid Display,Processor Type,Processor Cores,Processor Speed,Storage Drive Type,2-in-1,Processor Cache,Other Display Features,Year of Original Release,Display Type,Touchscreen,3D Capable Display,Screen Finish,Built-in Storage - Capacity GB,Built-in Storage Type,Solid-State Drive Capacity,RAM Size,RAM,Graphics Card,ENERGY STAR Qualified,Built-in Memory Card Reader,USB Ports,Integrated Wi-Fi,Webcam,Keyboard Language,Backlit Keyboard,Hard Disk Drive Capacity,Hard Drive Speed (Revolutions Per Minute),Colour,Optical Drive,Front Camera Still Resolution,Integrated Bluetooth,Approximate Battery Life,Pre-loaded Operating System,Compatible Memory Card Types,Operating System Language,Card Reader,Ethernet Port,Video Memory Configuration,Battery Type,Width,Height,Weight,Operating System,windows laptop,Type,Digital Download,CPU,Memory (RAM),Graphics,Disk Space,Internal or External,Other Input or Output Ports,Display Ports,HDCP Compliant,VR Ready,macbook,macbook_air,External Controls & Buttons,Wireless Carrier,Product Condition,Dedicated Video Memory Size,macbook_pro,Loaded Software,Wireless Display (WiDi) Capable,surface,chromebook,Battery - Number of Cells,gaming_laptop
0,15.6 in,1920 x 1080,Yes,Yes,Intel Core i5-8265U,4,1.6 GHz,Portable Hard Drive,1.0,6 MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00 cm,0.00 cm,4.78 kg,,,,,,,,,,,,,,,,,,,,,,,,,,
1,13 in,1920 x 1080,Yes,Yes,Intel Core i5-8265U,4,1.6 GHz,,1.0,,IPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00 cm,0.00 cm,4.78 kg,,,,,,,,,,,,,,,,,,,,,,,,,,
2,14 in,1920 x 1080,Yes,Yes,Intel Core i5-8265U,4,1.60 GHz,,1.0,,IPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00 cm,0.00 cm,4.78 kg,,,,,,,,,,,,,,,,,,,,,,,,,,
3,15.6 in,1920 x 1080,Yes,Yes,10th Generation Intel Core i5-10210U,4,1.36 GHz,,1.0,6 MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00 cm,0.00 cm,4.78 kg,,,,,,,,,,,,,,,,,,,,,,,,,,
4,15.6 in,1920 x 1080,Yes,Yes,Intel i5-8265U,4,1.60 GHz,,1.0,,15.6-inch FHD IPS Touch (1920 x 1080) with Narrow Border Pen Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00 cm,0.00 cm,4.78 kg,,,,,,,,,,,,,,,,,,,,,,,,,,
5,15.6 in,3840 x 2160,Yes,Yes,Intel Core i7-8550U,4,1.8 GHz,,1.0,8 MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00 cm,0.00 cm,4.78 kg,,,,,,,,,,,,,,,,,,,,,,,,,,
6,15.6 in,3840 x 2160,Yes,Yes,Intel Core i7-8550U,4,1.8 GHz,Portable Hard Drive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,Office Suite,Yes,1.6 Ghz,4 GB,1280 x 768,4 GB,External,,,,,,,,,,,,,,,,,
7,15.6 in,3840 x 2160,Yes,Yes,10th Gen Intel Core i7-10510U,4,1.8 GHz,,1.0,8 MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00 cm,0.00 cm,4.78 kg,,,,,,,,,,,,,,,,,,,,,,,,,,
8,15.6 in,3840 x 2160,Yes,Yes,10th Gen Intel Core i7-10510U,4,1.80 GHz,,1.0,,15.6-inch UHD (3840 x 2160) Truelife Touch Narrow Border WVA Display with Active Pen support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00 cm,0.00 cm,4.78 kg,,,,,,,,,,,,,,,,,,,,,,,,,,
9,13.9 in,3840 x 2160 (UHD),Yes,Yes,Intel Core i7-8550U,4,1.8 GHz,Portable Hard Drive,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00 cm,0.00 cm,4.78 kg,,,,,,,,,,,,,,,,,,,,,,,,,,
