,Touchscreen Display,Screen Size,Processor Type,Weight,Year of Original Release,Processor Cores,Colour,Convertible/Hybrid Display,2-in-1,windows laptop,macbook,macbook_air,macbook_pro,surface,chromebook,gaming_laptop
146,Yes,17.3,10th Gen Intel Core i7-10510U,4.7,0,4,0,Yes,0,1,0,0,0,0,0,0
149,Yes,17.3,8th Generation Intel Core i7-8565U,4.7,0,4,0,No,0,1,0,0,0,0,0,0
58,Yes,17.3,Intel Core i7-8565U,4.7,0,4,0,0,0,1,0,0,0,0,0,0
0,Yes,15.6,Intel Core i5-8265U,4.78,0,4,0,Yes,1,0,0,0,0,0,0,0
3,Yes,15.6,10th Generation Intel Core i5-10210U,4.78,0,4,0,Yes,1,0,0,0,0,0,0,0
4,Yes,15.6,Intel i5-8265U,4.78,0,4,0,Yes,1,0,0,0,0,0,0,0
5,Yes,15.6,Intel Core i7-8550U,4.78,0,4,0,Yes,1,0,0,0,0,0,0,0
6,Yes,15.6,Intel Core i7-8550U,4.7,0,4,0,Yes,0,1,0,0,0,0,0,0
7,Yes,15.6,10th Gen Intel Core i7-10510U,4.78,0,4,0,Yes,1,0,0,0,0,0,0,0
8,Yes,15.6,10th Gen Intel Core i7-10510U,4.78,0,4,0,Yes,1,0,0,0,0,0,0,0
314,Yes,15.6,Intel Core i7 7700HQ,4.7,0,0,0,Yes,0,1,0,0,0,0,0,0
818,Yes,15.6,Intel Pentium processor N4200,4.14,0,4,0,Yes,0,0,0,0,0,0,1,0
1013,Yes,15.6,Intel Core I7-8750h,0,0,0,0,Yes,0,0,0,0,0,0,0,1
36,Yes,15.6,Intel Core i5-1035G1,4.7,0,4,0,No,0,1,0,0,0,0,0,0
37,Yes,15.6,Intel Core i3-8130U,4.7,0,2,0,No,0,1,0,0,0,0,0,0
38,Yes,15.6,Intel Core i3-8130U,4.7,0,2,0,No,0,1,0,0,0,0,0,0
48,Yes,15.6,Intel Core i5-8265U,4.7,0,4,0,No,0,1,0,0,0,0,0,0
67,Yes,15.6,Intel Core i7-8550U,4.7,0,4,0,No,0,1,0,0,0,0,0,0
70,Yes,15.6,Intel Core i7-8550U,4.7,0,4,0,No,0,1,0,0,0,0,0,0
77,Yes,15.6,AMD Ryzen 5 3500U,4.7,0,4,0,No,0,1,0,0,0,0,0,0
78,Yes,15.6,AMD Ryzen 5 3500U,4.7,0,4,0,No,0,1,0,0,0,0,0,0
109,Yes,15.6,8th Generation Intel Core i5-8265U,4.7,0,4,0,No,0,1,0,0,0,0,0,0
114,Yes,15.6,10th Gen Intel Core i5-10210U,4.7,0,4,0,No,0,1,0,0,0,0,0,0
158,Yes,15.6,Intel i5-8250U,4.7,0,4,0,No,0,1,0,0,0,0,0,0
259,Yes,15.6,Intel i5-1035G1,4.7,0,4,0,No,0,1,0,0,0,0,0,0
267,Yes,15.6,Intel Core i7 8750H,4.7,0,6,0,No,0,1,0,0,0,0,0,0
316,Yes,15.6,Intel Core i5- 5300U,4.7,0,2,0,No,0,1,0,0,0,0,0,0
317,Yes,15.6,Intel Core i5- 5300U,4.7,0,2,0,No,0,1,0,0,0,0,0,0
816,Yes,15.6,PQC N4200,4.14,0,4,0,No,0,0,0,0,0,0,1,0
882,Yes,15.6,Intel Celeron N3450,0,0,0,0,No,0,0,0,0,0,0,1,0
192,Yes,15.6,Intel 8th Generation Core i5-8265U,4.7,0,4,0,0,0,1,0,0,0,0,0,0
268,Yes,15.6,Intel Core i7-9750H,4.7,0,6,0,0,0,1,0,0,0,0,0,0
382,Yes,15.6,0,4.7,0,0,0,0,0,1,0,0,0,0,0,0
760,Yes,15.6,Intel Quad-Core Pentium N4200,4.14,0,4,0,0,0,0,0,0,0,0,1,0
886,Yes,15.6,Inten Pentium N4200,0,0,4,0,0,0,0,0,0,0,0,1,0
